epoch,accuracy,loss,val_accuracy,val_loss
0,0.3645170331001282,1.331162929534912,0.42939481139183044,1.2771013975143433
1,0.6255189776420593,1.020410418510437,0.6628242135047913,0.9124127626419067
2,0.7890949249267578,0.6069433689117432,0.7060518860816956,0.7894782423973083
3,0.8394685983657837,0.4298290014266968,0.7175792455673218,0.7728852033615112
4,0.8746194243431091,0.34425821900367737,0.7060518860816956,0.7976461052894592
5,0.898422360420227,0.2855639159679413,0.6945244669914246,0.8271443247795105
6,0.9122613072395325,0.2380298525094986,0.7002881765365601,0.9113329648971558
7,0.9335731863975525,0.20383653044700623,0.6916426420211792,0.9390531182289124
8,0.9449211359024048,0.1724441647529602,0.6945244669914246,0.9938969016075134
9,0.9482424855232239,0.16321639716625214,0.7031700015068054,1.025681495666504
10,0.9587600231170654,0.12893052399158478,0.6974063515663147,1.1324796676635742
11,0.9640188217163086,0.11966396123170853,0.6858789920806885,1.2590374946594238
12,0.9676169157028198,0.11016259342432022,0.6858789920806885,1.2366664409637451
13,0.9703847169876099,0.09739726781845093,0.680115282535553,1.327441930770874
14,0.9739828109741211,0.08960045129060745,0.6858789920806885,1.3251206874847412
15,0.972045361995697,0.09045680612325668,0.6772334575653076,1.370048999786377
16,0.971491813659668,0.08479045331478119,0.6743515729904175,1.4035329818725586
17,0.972045361995697,0.08047814667224884,0.680115282535553,1.4340811967849731
18,0.9745364189147949,0.07556081563234329,0.680115282535553,1.4987119436264038
19,0.9767506122589111,0.07511502504348755,0.6628242135047913,1.565056562423706
20,0.9761970639228821,0.06993187963962555,0.6829971075057983,1.5308598279953003
21,0.9753667116165161,0.06741993874311447,0.6743515729904175,1.562229871749878
22,0.9778577089309692,0.06377584487199783,0.6772334575653076,1.6190918684005737
23,0.9786880612373352,0.06150771677494049,0.680115282535553,1.658392071723938
24,0.9775809645652771,0.06141600012779236,0.6772334575653076,1.6485848426818848
